logo_url,company,title,location,description,posted,link
https://media.licdn.com/dms/image/v2/C560BAQF4q1ZlzC2Zjg/company-logo_100_100/company-logo_100_100/0/1631304635316?e=2147483647&v=beta&t=-x0InszHSWrWAMJMgqIMkxv0Ix2AHTx7P9q6WuW2b74,Jaquar & Company Private Limited,ORIENTATION CENTRE - BHUBANESWAR,"Bhubaneswar, Odisha, India","About the Company - Jaquar Group is a prominent Indian conglomerate established in 1960 that operates in the bathroom and lighting industry headquartered in Manesar and has a global presence with manufacturing facilities, subsidiaries, and distribution networks in various countries. Jaquar has grown...",1 week ago,https://in.linkedin.com/jobs/view/orientation-centre-bhubaneswar-at-jaquar-company-private-limited-4207311245?position=1&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=ryIAfdk0HzscsXd%2BiG6lKw%3D%3D
https://media.licdn.com/dms/image/v2/D4D0BAQFRJbym_ZuGMA/company-logo_100_100/company-logo_100_100/0/1706788062189/aditya_birla_capital_logo?e=2147483647&v=beta&t=0lhxFTe0YKbPnNu1hoaR5avgQgWxa2Y1wTyGnAQL3c4,Aditya Birla Capital,Assistant Sales Manager / Sales Manager,"Bhubaneswar, Odisha, India","This job is provided by apna.co Achieve GWP Targets -

Plan field activities to broaden the funnel of leads.

Build a pipeline of leads through reference and activities to ensure available bucket of prospects to approach for sales.

Take customer appointments to understand their needs and pitch suit...",1 week ago,https://in.linkedin.com/jobs/view/assistant-sales-manager-sales-manager-at-aditya-birla-capital-4207129165?position=2&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=DXqqNPHBw875EthN1bbWTg%3D%3D
https://media.licdn.com/dms/image/v2/C4D0BAQFnEYpR8MlYsA/company-logo_100_100/company-logo_100_100/0/1631300737624?e=2147483647&v=beta&t=XwrPkxNIwc_l-G-D6Dfak1uo1oK-wEZfcwpUN3QD9WQ,Larsen & Toubro,SALES ENGINEER,"Bhubaneswar, Odisha, India","L&T Construction and Mining Machinery is looking for a [Sales Engineer- Construction Equipment Business-Sambalpur, Odisha]

Who We Are

L&T Construction & Mining Machinery is part of the highly successful Larsen & Toubro Group, one of the India’s largest engineering conglomerates, widely acknowledge...",1 week ago,https://in.linkedin.com/jobs/view/sales-engineer-at-larsen-toubro-4172055785?position=3&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=Cz9rfvIYTj5yuuu%2BOtdwzA%3D%3D
https://media.licdn.com/dms/image/v2/D560BAQFYf1IhPukA5Q/company-logo_100_100/company-logo_100_100/0/1719912934875/pwc_india_logo?e=2147483647&v=beta&t=C7FShWuDFc2twP4u8aW9jUbkShzPr_ceL6Mf_G5Dx7I,PwC India,Associate,"Bhubaneswar, Odisha, India","Line of Service

Advisory

Industry/Sector

Not Applicable



SAP



Associate



A career within SAP Consulting services, will provide you with the opportunity to help our clients maximise the value of their SAP investment with offerings that address sales, finance, supply chain, engineering, and h...",1 day ago,https://in.linkedin.com/jobs/view/associate-at-pwc-india-4056877209?position=4&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=TTy%2BqQP0X8bptGCA0qZtzA%3D%3D
https://media.licdn.com/dms/image/v2/C4E0BAQHVBWEnvxe-kA/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630625981028/bacardi_logo?e=2147483647&v=beta&t=GORTb2kcdEDZHqaj9hVRywx54lPGSrnoYPL1jlFxAPQ,Bacardi,Area Sales Executive- On Trade - Bhubaneshwar,"Bhubaneswar, Odisha, India","[Please note this is a Direct Search led by Bacardi, Applications from agencies will not be accepted nor will fees be paid for unsolicited CVs.]

YOUR OPPORTUNITY

On-Trade Area Sales at Bacardi are accountable for creating value by driving sales and building the brand visibility in premium and stan...",3 weeks ago,https://in.linkedin.com/jobs/view/area-sales-executive-on-trade-bhubaneshwar-at-bacardi-4143607874?position=5&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=vSDM06oFt2Z8QTneauKhNg%3D%3D
https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=2147483647&v=beta&t=QsC16wgE3EBriPFDlAgtToh2xndFwQWKmR2WcyMG1nk,Amazon,"Process Assistant, FC Operations","Bhubaneswar, Odisha, India","Description

Amazon is a highly data driven company highly passionate about its customers. In this context it is vital to ensure the customers always get their orders on time and with quality. The processes at the FCs are largely manual involving large numbers of associates. One of the most critical...",2 weeks ago,https://in.linkedin.com/jobs/view/process-assistant-fc-operations-at-amazon-4158985793?position=6&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=tN%2F1DzSaCwg8oIR7jlZ%2Ffw%3D%3D
https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=2147483647&v=beta&t=QsC16wgE3EBriPFDlAgtToh2xndFwQWKmR2WcyMG1nk,Amazon,"Process Assistant, FC Operations","Bhubaneswar, Odisha, India","Description

Managing and guiding on floor operations of the Fulfillment Centre

Key job responsibilities

Process knowledge and guidance of Fulfillment center operations

Headcount planning and people management

Good deep dive skills to identify shortcomings to work on the same.

Adherence to esta...",2 weeks ago,https://in.linkedin.com/jobs/view/process-assistant-fc-operations-at-amazon-4158986237?position=7&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=B7wgjNPs4Z4kA3Z21bhivg%3D%3D
https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=2147483647&v=beta&t=QsC16wgE3EBriPFDlAgtToh2xndFwQWKmR2WcyMG1nk,Amazon,"Process Assistant, FC Operations","Bhubaneswar, Odisha, India","Description

Managing and guiding on floor operations of the Fulfillment Centre

Key job responsibilities

Process knowledge and guidance of Fulfillment center operations

Headcount planning and people management

Good deep dive skills to identify shortcomings to work on the same.

Adherence to esta...",2 weeks ago,https://in.linkedin.com/jobs/view/process-assistant-fc-operations-at-amazon-4158984833?position=8&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=OpTI8oXeOFaRdybEBEWfDA%3D%3D
https://media.licdn.com/dms/image/v2/C4E0BAQHM_iN30Rgv3w/company-logo_100_100/company-logo_100_100/0/1631307312115?e=2147483647&v=beta&t=0aVIacsATufIRcJR18WUij7uuBU9_zV-BYTJclL5lak,Reliance Retail,Store Manager,"Bhubaneswar, Odisha, India","Skills:
Inventory Management Software, Point of Sale (POS) Systems, Team Leadership, Customer Service Excellence, Retail Analytics Tools, Merchandising Strategy, Sales Reporting, Analytical Skill Inter Personal Skill Ownership Mindset Leadership Skil,



Reliance Retail, India's largest and fastest-...",1 week ago,https://in.linkedin.com/jobs/view/store-manager-at-reliance-retail-4210492652?position=9&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=uKRHssfUSXZh74vFiE32YQ%3D%3D
https://media.licdn.com/dms/image/v2/C4E0BAQH8LUx6bzhQXw/company-logo_100_100/company-logo_100_100/0/1630580008346/awign_enterprises_logo?e=2147483647&v=beta&t=lbqYt_GKAXy_3kFBw7L7nLx2-AJbkkxHXMWtBkdLn4I,Awign,Invigilator,"Bhubaneswar, Odisha, India","This job is provided by apna.co Job Title: Exam Lab Invigilator

Job Type: Full-time / Part-time (Based on shifts)

Working Hours: 6:00 AM - 6:00 PM (Shifts may vary)

Gender Preference: Open to both Female & Male candidates.

Age Requirement: 28 years & above.

Experience Required: Fresher or Exper...",1 week ago,https://in.linkedin.com/jobs/view/invigilator-at-awign-4207123893?position=10&pageNum=0&refId=3kc%2B4hOq2yg%2BtfwDBBb9Ng%3D%3D&trackingId=i7%2BjgCIf4EXn2l%2BgZEgJoA%3D%3D
